,title,star,metaScore,description
20,21. The Wheel of Time,7.2,,"Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan."
21,22. Captain America: Brave New World,5.7,42,"Sam Wilson, the new Captain America, finds himself in the middle of an international incident and must discover the motive behind a nefarious global plan."
22,23. Attack on Titan,9.1,,"After his hometown is destroyed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
23,24. Lilo & Stitch,,,"A lonely Hawaiian girl befriends a runaway alien, helping to mend her fragmented family."
24,25. Fight or Flight,6.4,59,A mercenary takes on the job of tracking down a target on a plane but must protect her when they're surrounded by people trying to kill both of them.
0,1. A Complete Unknown,7.4,70,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with musical icons on his meteoric rise, culminating in a groundbreaking performance that reverberates around the world."
1,2. Happy Face,6.5,,"The story of Melissa Jesperson-Moore, who at age 15 discovered that her father, Keith Hunter Jesperson, was the serial murderer known as the Happy Face Killer."
2,3. Queen of the Ring,6.6,64,"In a time when pro wrestling for women was illegal all over the United States, a small town single mother embraces the danger as she dominates America's most masculine sport and becomes the first million dollar female athlete in history."
3,4. Oppenheimer,8.3,90,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
4,5. Seungbu,6.9,,"The true story of two legendary players of Go ('baduk'), Cho Hun Hyeon, and his protege and future rival, Lee Chang Ho."
5,6. The Two Popes,7.6,75,"Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church."
6,7. The Crown,8.6,,Follows the political rivalries and romances of Queen Elizabeth II's reign and the events that shaped Britain for the second half of the 20th century.
7,8. Carême,6.3,,"Born into the tumult of the French Revolution, Antoine Carême would rise from poverty to become one of history's most acclaimed chefs, crossing paths with such figures as Napoleon, Tsar Alexander, and the Rothschilds."
8,9. The Alto Knights,5.7,47,"Two of New York City's most notorious organized crime bosses vie for control of the city's streets. Once best friends, petty jealousies and a series of betrayals set them on a deadly collision course."
9,10. GoodFellas,8.7,92,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
10,11. The Wolf of Wall Street,8.2,75,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
11,12. Schindler's List,9.0,95,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
12,13. Kesari Chapter 2: The Untold Story of Jallianwala Bagh,8.3,,"A dramatization of the life story of C. Sankaran Nair, the lawyer who fought for the truth behind the Jallianwala Bagh massacre."
13,14. Tombstone,7.8,50,"A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating."
14,15. The Smashing Machine,,,The story of mixed-martial arts and UFC champion Mark Kerr.
15,16. Spartacus,8.5,,"The life of Spartacus, the gladiator who led a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome."
16,17. The Apprentice,7.1,64,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events."
17,18. Ainda Estou Aqui,8.3,85,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.
18,19. Narcos,8.7,,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
19,20. Marie Antoinette,7.3,,"Follows the famed queen Marie Antoinette, who was the last queen of France before the French Revolution."
20,21. Monsters,7.8,,An anthology series about high-profile crimes or killers that captured public attention and notoriety.
21,22. Rush,8.1,74,"James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits."
22,23. Hacksaw Ridge,8.1,71,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
23,24. Green Book,8.2,69,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
24,25. Darkest Hour,7.4,75,"In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean the end of the British Empire."
